,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30
DSC08658.jpg,-0.18310754,0.02774949,0.022166153,-0.010237427,0.028704338,0.022202715,-0.010490672,0.013089245,0.013352086,-0.019888822,-0.04040527,0.035016675,0.062256146,0.005053601,-0.005433523,0.0045934822,0.0054474277,-0.008117618,0.054696504,0.033198934,-0.0054209223,-0.0893561,-0.023888234,-0.043251567,-0.0028807705,-0.030897588,-0.078439854,-0.03024848,-0.065803446,0.03831363
DSC08666.jpg,-0.13280566,0.118564926,0.0926104,-0.07438739,0.06153425,0.014255535,-0.013338415,0.0629148,0.00034965947,-0.11241766,-0.09351775,0.02600495,0.016569328,0.017126715,-0.059837427,0.05438205,-0.0019789543,-0.00063352985,0.048240155,0.08790754,-0.066716075,-0.089898415,-0.044542257,-0.0462082,0.03062967,-0.016407708,-0.12648025,-0.06784447,-0.042542975,0.04539968
DSC08673-2-1.jpg,-0.2093859,-0.062246185,-0.029292528,-0.052703395,0.0056988765,0.06445931,0.05553845,0.044628102,0.021672448,0.06824456,-0.009945508,0.007838344,0.020583265,0.028603029,-0.06555313,0.025827885,0.060234476,-0.05538759,-0.028957091,-0.10248228,-0.034932964,-0.025058173,0.05210998,0.013017567,-0.0127004795,0.007792609,0.08499217,-0.043824997,-0.07322199,-0.00539882
DSC08735.jpg,-0.12866399,0.016635941,-0.03443743,-0.0544564,-0.038547914,0.0013839969,-0.03421686,-0.02130027,0.041450005,0.0056757955,-0.04404554,-0.011321642,0.0599002,0.016484354,-0.0275654,-0.022976084,0.034519196,0.0022089637,-0.010942455,0.0077831103,-0.025549186,-0.06121272,0.035718583,-0.06894234,0.012476912,-0.041263737,-0.07704453,-0.006972675,0.028586738,0.03811518
DSC09902-1.jpg,0.69128287,-0.3142099,-0.407925,0.84442306,0.33086124,1.2754946,0.03664303,-0.0110555,0.4562745,-0.22994672,-0.18581669,-0.22093347,-0.24620192,0.079972416,0.083890304,0.10235888,-0.05195394,0.0019840999,-0.1232137,-0.05349402,-0.1455963,-0.19781403,0.069038145,-0.04340669,0.11687421,-0.0147403795,-0.105516054,0.030715933,0.007745399,0.018342808
DSC09906-1.jpg,0.46907893,-0.1979262,-0.026815403,0.5749183,0.14489304,-0.43885502,0.51723343,0.39686087,-0.6748673,-0.14420459,0.14827932,-0.039343905,0.291032,0.64002466,0.008553554,0.017942328,-0.032372613,0.5050516,0.23665169,-0.018827727,-0.056536604,-0.31429768,0.30275822,-0.24002193,0.050201815,-0.033515085,-0.016758991,-0.019557178,0.02045351,0.049545392
DSC09915-1.jpg,-0.007460614,-0.05726333,-0.028266445,0.22057286,0.08208822,0.11514639,0.044227257,0.04268661,0.035122603,0.03251894,0.11396341,0.02159933,-0.011799897,0.020911258,-0.033631932,0.01641669,0.06349648,-0.05139496,0.0074600447,-0.1255386,0.0023252226,0.035950337,-0.09318882,-0.030835388,-0.047310032,0.11125748,0.12730953,-0.11619236,0.012681376,-0.077724375
Digital_Monster.jpg,-0.16737723,-0.0633583,-0.043091092,-0.00036751555,-0.016059585,0.046470124,-0.010955447,-0.04040604,0.051339608,0.050254438,0.027690375,-0.019263733,0.098738395,0.019925049,-0.027799305,0.017453086,0.006615401,0.024702318,-0.020883529,-0.041454673,0.0038883188,0.034232512,0.044984832,0.06937818,-0.0236756,0.0031667233,0.023268482,0.0073280185,-0.017936451,-0.037660826
Dunyeng.jpg,-0.119839564,-0.02289762,-0.05829155,-0.0005930308,0.054300006,0.010575111,0.038168244,-0.0011494614,-0.048483897,0.10683223,-0.041207224,-0.022315511,-0.035180666,0.006731806,0.14489791,0.0066878176,-0.02408798,-0.0239061,-0.021824019,0.03794211,0.035363764,0.0015025121,-0.019917134,0.067481644,0.06687065,-0.05024366,-0.008064279,0.0042821113,0.06923237,0.02143475
Ellie.jpg,-0.0934912,0.0034223907,-0.04365109,0.021229187,0.035920974,-0.07548551,0.018702675,0.11162951,-0.08231175,0.09136226,-0.07772539,0.021484414,-0.13863748,0.023214601,0.016010705,-0.046286225,-0.081674196,-0.018526427,-0.08133407,0.117834635,-0.067698315,-0.0041479887,-0.15190433,0.04152024,0.061481416,0.024751537,-0.058918994,0.025083829,0.017847912,0.0700577
